"BehaviorSpace results (NetLogo 6.1.1)"
"model.nlogo"
"all-but-ld"
"06/26/2020 19:48:33:795 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","initial-inf","duration","imposed-lockdown?","control-measures?","isolate-symptomatics?","test-and-trace?","shelter-at-risk?","closed-system?","lockdown-threshold","control-threshold","isolate-threshold","testtrace-threshold","shelter-threshold","lockdown-strictness","protection-strength","isolation-strictness","travel-strictness","shelter-adherance","sym-test-coverage","asym-test-coverage","p-infect-init","p-death","z-contact-min","asym-infections","incubation-mean","incubation-stdev","recovery-mean","recovery-stdev","death-mean","death-stdev","immunity-mean","iso-countdown-max","mean-iso-reduction","min-pxcor","min-pycor","max-pxcor","max-pycor","[step]","count susceptibles","count latents","count symptomatics","count asymptomatics","count recovereds","count deads","count.locked","currently-locked?","num-contacts","dead-0-29","dead-30-59","dead-60+"
"1","0.1","3","false","true","true","true","true","false","1","1","1","1","1","0","70","100","100","100","100","50","30","2.5","2","60","1.6","0.4","20.5","6.7","16","8.21","365","14","1","0","0","299","299","0","89910","90","0","0","0","0","0","false","0","0","0","0"
"1","0.1","3","false","true","true","true","true","false","1","1","1","1","1","0","70","100","100","100","100","50","30","2.5","2","60","1.6","0.4","20.5","6.7","16","8.21","365","14","1","0","0","299","299","1","89596","404","0","0","0","0","0","false","538603","0","0","0"
"1","0.1","3","false","true","true","true","true","false","1","1","1","1","1","0","70","100","100","100","100","50","30","2.5","2","60","1.6","0.4","20.5","6.7","16","8.21","365","14","1","0","0","299","299","2","88689","1311","0","0","0","0","0","false","538603","0","0","0"
"1","0.1","3","false","true","true","true","true","false","1","1","1","1","1","0","70","100","100","100","100","50","30","2.5","2","60","1.6","0.4","20.5","6.7","16","8.21","365","14","1","0","0","299","299","3","86901","3098","1","0","0","0","0","false","538603","0","0","0"
"1","0.1","3","false","true","true","true","true","false","1","1","1","1","1","0","70","100","100","100","100","50","30","2.5","2","60","1.6","0.4","20.5","6.7","16","8.21","365","14","1","0","0","299","299","4","84220","5752","6","22","0","0","0","false","538603","0","0","0"
"1","0.1","3","false","true","true","true","true","false","1","1","1","1","1","0","70","100","100","100","100","50","30","2.5","2","60","1.6","0.4","20.5","6.7","16","8.21","365","14","1","0","0","299","299","5","80642","9221","50","87","0","0","0","false","538603","0","0","0"
"1","0.1","3","false","true","true","true","true","false","1","1","1","1","1","0","70","100","100","100","100","50","30","2.5","2","60","1.6","0.4","20.5","6.7","16","8.21","365","14","1","0","0","299","299","6","76371","13190","166","273","0","0","0","false","538603","0","0","0"
"1","0.1","3","false","true","true","true","true","false","1","1","1","1","1","0","70","100","100","100","100","50","30","2.5","2","60","1.6","0.4","20.5","6.7","16","8.21","365","14","1","0","0","299","299","7","71430","17477","421","672","0","0","0","false","538603","0","0","0"
"1","0.1","3","false","true","true","true","true","false","1","1","1","1","1","0","70","100","100","100","100","50","30","2.5","2","60","1.6","0.4","20.5","6.7","16","8.21","365","14","1","0","0","299","299","8","65915","21840","869","1376","0","0","0","false","538603","0","0","0"
"1","0.1","3","false","true","true","true","true","false","1","1","1","1","1","0","70","100","100","100","100","50","30","2.5","2","60","1.6","0.4","20.5","6.7","16","8.21","365","14","1","0","0","299","299","9","59886","26109","1574","2431","0","0","29525","false","538603","0","0","0"
